Game Name,Player Count,Daily Highest Player Count,Price,Tags
Counter-Strike 2,"811,279","1,472,651",Free To Play,"FPS, Shooter, Multiplayer, Competitive, Action, , , "
Dota 2,"355,811","655,899",Free To Play,"Free to Play, MOBA, Multiplayer, Strategy, , , , "
PUBG: BATTLEGROUNDS,"320,865","776,353",Free To Play,"Survival, Shooter, Battle Royale, Multiplayer, , , , "
Banana,"256,812","264,586",Free To Play,"Free to Play, Clicker, Singleplayer, 2D, Casual, , , "
NARAKA: BLADEPOINT,"112,466","264,601",Free To Play,"Battle Royale, Multiplayer, Martial Arts, PvP, , , , "
Grand Theft Auto V,"88,856","155,914","-38%
₩ 26,400
₩ 16,500",Mature
Call of Duty®,"83,941","195,821",,"Violent, Realistic, Mature, Gore"
Wallpaper Engine,"81,439","121,100","₩ 4,500","Mature, Utilities, Anime, Software, , , NSFW, "
Apex Legends™,"74,112","179,054",Free To Play,"Free to Play, Battle Royale, Multiplayer, FPS, , , , "
S.T.A.L.K.E.R. 2: Heart of Chornobyl,"59,905","113,587","NEW
₩ 64,900","Open World, FPS, Post-apocalyptic, Survival, , , , "
Rust,"59,744","110,617","₩ 46,000","Survival, Crafting, Multiplayer, Open World, , , , "
Crab Game,"47,686","47,721",Free To Play,"Psychological Horror, Multiplayer, Free to Play, , , , , "
Stardew Valley,"47,477","94,680","₩ 16,000","Farming Sim, Pixel Graphics, Life Sim, Multiplayer, , , , "
War Thunder,"45,896","85,647",Free To Play,"Free to Play, Simulation, Vehicular Combat, , , VR, , "
Monster Hunter: World,"42,057","94,286","-67%
₩ 34,800
₩ 11,480","Co-op, Multiplayer, Action, Open World, RPG, , , "
Warframe,"39,116","60,700",Free To Play,
Team Fortress 2,"35,335","49,063",Free To Play,"Free to Play, Hero Shooter, Multiplayer, FPS, , , , "
Football Manager 2024,"34,274","61,348","₩ 59,000","Simulation, Sports, Strategy, Management, , , , "
Black Myth: Wukong,"34,235","74,643","₩ 64,800","Mythology, Action RPG, Action, Souls-like, , , , "
Hearts of Iron IV,"33,134","60,406","-70%
₩ 55,000
₩ 16,500","Strategy, World War II, Grand Strategy, War, , , , "
Once Human,"31,376","50,395",Free To Play,"Multiplayer, Open World Survival Craft, Strategy, , , , , "
Sid Meier’s Civilization® VI,"30,984","48,800","₩ 65,000","Strategy, Turn-Based Strategy, Multiplayer, , , , , 4X"
Baldur's Gate 3,"30,528","71,408","₩ 66,000","RPG, Character Customization, Choices Matter, , , , , "
Factorio,"29,820","62,194","₩ 40,000","Automation, Base Building, Resource Management, , , , , "
Farming Simulator 25,"28,980","102,051","₩ 44,000","Simulation, Farming Sim, Realistic, Immersive Sim, , , , "
Don't Starve Together,"27,817","51,921","₩ 15,500","Survival, Open World Survival Craft, Multiplayer, , , , , "
PAYDAY 2,"25,759","26,978","₩ 11,000","Co-op, Action, FPS, Heist, Multiplayer, , , "
Crosshair X,"25,699","60,163","₩ 8,300","Action, Indie, Adventure, Utilities, Shooter, , , "
EA SPORTS FC™ 25,"25,533","64,137","-50%
₩ 80,000
₩ 40,000","Sports, Simulation, Controller, Football (Soccer), , , , "
VRChat,"24,745","36,222",Free To Play,"VR, Free to Play, Multiplayer, Memes, Anime, , , "
DayZ,"24,104","53,021","₩ 59,000",
The Binding of Isaac: Rebirth,"22,411","43,876","₩ 15,500","Action Roguelike, Roguelike, Indie, Replay Value, , , , "
Cats,"21,871","22,103",Free To Play,"Free to Play, Clicker, Psychological Horror, Horror, , , , "
Destiny 2,"21,492","38,542",Free To Play,"Free to Play, Open World, Looter Shooter, , FPS, , , "
